Spoken form, Cursorless identifier
-five section, sectionLevelFive
-four section, sectionLevelFour
-one section, sectionLevelOne
-six section, sectionLevelSix
-three section, sectionLevelThree
-two section, sectionLevelTwo
-argument, argumentOrParameter
-attribute, attribute
-block, paragraph
-call, functionCall
-call economy, functionCallee
-cell, notebookCell
-chapter, chapter
-character, character
-class, class
-class name, className
-comment, comment
-condition, condition
-element, xmlElement
-end tag, xmlEndTag
-environment, environment
-file, document
-funk, namedFunction
-funk name, functionName
-identifier, identifier
-if state, ifStatement
-item, collectionItem
-key, collectionKey
-chain, anonymousFunction
-line, line
-link, url
-list, list
-map, map
-name, name
-paint, nonWhitespaceSequence
-paragraph, namedParagraph
-part, part
-regular, regularExpression
-section, section
-selection, selector
-short paint, boundedNonWhitespaceSequence
-start tag, xmlStartTag
-state, statement
-string, string
-sub paragraph, subParagraph
-sub section, subSection
-sub sub section, subSubSection
-tags, xmlBothTags
-token, token
-type, type
-unit, unit
-value, value
-word, word
